Makale_Basligi,Etiket
Building Your First Web API with ASP.NET Core Part 1: Getting Started with REST,1
"JNBridgePro v12.1: .NET 10, JDK 25, and AI-Assisted Configuration Are Here",0
Multi-Agent Systems: Orchestrating Azure AI Agents with Semantic Kernel,1
Building a Health Data Chat Agent with Claude and the Microsoft Agent Framework,1
MAUI Embedded Web Architecture Practice (1) Running PicoServer Local Web Service in MAUI Applications,1
QuantumSuperposition: a .NET library for when one value isn’t enough,0
MAUI + PicoServer: Practical Implementation of Embedded Web Architecture,1
4 Essential LLM Tasks in .NET 10 Using GitHub Models 🚀,0
"Reliable AI Outputs: Function Calling, JSON Mode, and Structured Generation in C#",1
Building a Multi-Terminal Restaurant POS with C# .NET — Architecture & Lessons,1
You inherited a .NET codebase with zero tests. Now what?,0
"Building Your First Web API with ASP.NET Core Part 2: Controllers, Models & Your First Endpoint",1
"How to Build a Cross-Platform Barcode, MRZ, and Document Scanner with .NET MAUI Blazor",0
EF Core 10 Performance Issue,1
Stop Using Switch Statements: Keyed Services in .NET - A Practical Approach,1
Best C# PDF Library in 2026? A Real-World .NET Comparison,0
Closures no .NET: As Alocações Invisíveis que Estão Matando sua Performance,1
Pattern Matching vs Manual Casting in C#,1
.NET Programming Habits I Wish I’d Started Sooner,0
ASP.NET Core MVC Explained — Step-by-Step with Real Code & Best Practices,1
Stop using magic strings in your Firestore .NET queries,1
Exploring Distributed Coordination in .NET (Clustron DKV),0
9 Things That Silently Kill Your .NET Build Time (and How to Fix Each One),0
CancellationToken στο .NET,0
Async/Await no .NET 10: Eliminando o Overhead da State Machine,0
I Benchmarked 3 Ways to Log in .NET : One Allocates Nothing,0
FluentValidation σε Clean Architecture,1
Brave new C#,1
Clean Unit Testing in .NET: Practical xUnit and Moq Tips,1
Dependency Injection στο .NET,0
Why .NET 10's AI-First Architecture Changes How We Build Software,1
Building Production RAG Systems in .NET 10: The Complete Guide to Embeddings,1
RoslynLens: Give Your AI Assistant Semantic Eyes on .NET Code,1
How to take screenshots and generate PDFs in C# and .NET,0
Building the Fastest .NET Object Mapper,0
Why You Can’t Write to the Response in ASP.NET Core (And How to Fix It),0
Manual Threads vs. Task.Factory: Optimizing Long-Running Workers In .NET development,0
"Power Your Azure AI Agents: Function Calling, Code Interpreter, and File Search",1
"Value Types vs Reference Types, Struct vs Class, and Boxing & Unboxing — The Complete C# Guide",1
How to Export Excel to PDF in .NET (Fast & Accurate Method),0
Implementing OpenTelemetry with Serilog in a .NET Application [Practical Guide],0
Swashbuckle Is Dead. Here's How to Migrate to Scalar in .NET 10.,0
C# Keeps Getting Better: My Favourite Modern Language Features,1
Pushing skills to a new level,1
.NET 11 Preview for .NET MAUI: Simplify XAML with Inline C# Expressions,0
"Building a Clean Master-Detail App with Blazor Server, MudBlazor, and EF Core",1
The Core Knowledge Every Senior C#/.NET Developer Must Master in 2026,1
25 Dicas de performance com .NET 10,1
MCP for .NET: AI Agents That Can Actually Do Things,1
Bringing shadcn/ui to Blazor — Why I Built Blazor Blueprint,0
Why Casting Double to Decimal Won't Save Your Financial Data 💸 (A Bug Hunt Story),0
Native AOT in .NET 10: Everything for C# Developers,0
"Introducing DotNetPy: Python Interop for Modern .NET, Reimagined",1
"Organizando Projetos .NET com o Central Package Management, Directory.Build e EditorConfig",0
.NET Learning Notes: Custom In-Memory Provider(1) - Registration and Discovery,0
"PVS-Studio 7.41: MISRA C 2023, enhanced Unreal Engine integration, new logging system, and much more",1
"Pure.DI: DI without container, without .NET type reflection, and with compile-time validation",0
How I Built a .NET 8 Clean Architecture SaaS Boilerplate (And What I Learned),1
Managing database schema changes in .NET From theory to FluentMigrator,0
Async/Await por Debaixo do Capô: Entendendo I/O Assíncrono no .NET,0
Azure Blob Storage in .NET Core Web API v8,0
CodeBehind 4.6 Released; Upgrade to .NET 10,0
Shadow Logging via Events - Complete Decoupling of Business Logic and Logging in DI Environment,1
Installing .NET 10 on Linux (Pop!_OS) — The Real Journey 🚀,0
.NET Core: Custom middleware for authentication using JWT and Cookie,0
Deploy .NET 8 App to Azure Kubernetes Service (AKS),0
STOP PUTTING LOGIC IN YOUR BUTTONS: A BEGINNER'S GUIDE TO SEPARATING CONCERNS IN C#,1
Struct vs Record vs Class — Choosing the Right Type in Modern C# (.NET 9/10 Edition),1
Building Production-Grade RAG in .NET : Language Is Not a Barrier,0
Extract Structured Data from Car Listings Using AI in .NET 10,1
Deserializing Polymorphic JSON in .NET Without Losing Type Safety,0
"Shipping a GUI Without the .NET Runtime: 2 Months with MewUI, a Cross-Platform UI Framework",0
Clean Code: Otimizando a Comparação de Listas no C#,1
Integrando Sentry com .NET,0
Understanding Expression Trees in C# Through a Practical Example,1
.NET Learning Notes: DelegatingHandler and Harmony (HTTPMataki logging library),0
Migrating from Semantic Kernel to Microsoft Agent Framework: A C# Developer's Guide,1
Building a Local AI Research Agent in C# — From Zero to Autonomous Research,1
"IDisposable, Finalizers, and the Dispose Pattern — The Complete Guide for .NET Developers",1
Blindando Aplicações no .NET 10: Um Guia Completo sobre Polly e Resiliência,0
Stop Paying the REST Tax: How to Actually Call Java from C# at Production Scale,1
"AI Agents in Semantic Kernel: ChatCompletionAgent, AgentGroupChat, and Orchestration",1
Building a Multi-Provider AI Chat Application with .NET 10 - A Complete Guide,1
Trusting PayPal Webhooks the .NET Way,0
Breaking the Memory Wall in .NET: The Buffer–Model Architecture,1
Why I Chose CRTP for My C# Result Pattern Library,1
Strategy & Factory Pattern στην C# Μια ορθολογιστική και SOLID προσέγγιση,1
Implementing Tell and Ask in Trupe — Actor Model library in .NET,1
Implementando Tell e Ask no Trupe — Biblioteca de Modelo de Atores em .NET,0
"SOLID Principles in C# — A Practical, Real‑World Guide for .NET Developers",0
.NET in Practice – Modeling Time with NodaTime,0
Semantic Kernel from First Principles: Understanding the Architecture,1
"Clean Architecture in .NET: Real-World Pros, Cons and Trade-offs",1
🚀 Desenvolvimento Full-Stack Moderno: TanStack Router + .NET,0
What I Learned Building My First Clean Architecture Project in .NET,1
Anemic Entities vs Behavior-Rich Entities Από το Anti-Pattern σε σωστό Domain Model (.NET Core / C#),1
"Deploying Agent Framework to Production: Azure AI Foundry, Observability, and Scaling",1
Design Patterns Explained in C# & nopCommerce,1
Primeros pasos con Microsoft Agent Framework: construyendo un chatbot de soporte con C#,1
Building a NinjaTrader 8 Indicator: What Actually Went Wrong,1
Model Context Protocol in .NET: Building and Consuming Universal AI Tools,1
Agent Framework Workflows: Beyond Chat — Orchestrating Complex AI Tasks,1
Understanding Garbage Collection (GC) in .NET — How It Works and When It Matters,0
Calling .NET from Java: Why Your REST Bridge Is Costing You More Than You Think,0
C# vs Java: A Practical Comparison for Modern Developers,1
Starting My C# and .NET Journey — Looking for Advice,0
"Designing Error Flows: Exceptions, Success Flags, or Discriminated Unions?",0
.NET Learning Notes: Custom In-Memory Provider(5) - Include & ThenInclude — Navigation Loading and Fix-Up,0
.NET Learning Notes: Custom In-Memory Provider(4) - ReadPath - From IQueryable to Result Execution,0
Trace Whether Your .NET `HttpClient` Calls Are Quantum-Safe (PQC) 🚦,0
Azure AI Agent Service Part 3: Multi-Agent Orchestration with Semantic Kernel for .NET,1
Azure AI Agent Service Part 5: Deploying Multi-Agent Systems to Azure AI Foundry,1
"Azure AI Agent Service Part 4: Production Patterns—State Management, Sessions, and Observability",1
Generative AI in C#: Building Provider-Agnostic LLM Applications with Microsoft.Extensions.AI,1
"Difference Between 'const' and 'readonly' in C# — The Definitive, Practical Guide",1
Printing Shipping Labels in C#: When Every Carrier Has Their Own Standard,1
Clean Architecture in .NET 10: The Setup (And When It's Overkill),1
I built a free HTML to PDF library for .NET because existing options frustrated me,0
.NET Learning Notes: Custom In-Memory Provider(3) - Storage Write Model and Key-Based Retrieval,1
Azure AI Agent Service: Your First Production-Ready AI Agent in C#,1
Microsoft Agent Framework: The Future of .NET AI Agents Has Arrived,1
"Building Modern Realtime .NET Apps: SignalR, R3, AsyncR3, SignalsDotnet, and Redis",1
"When IDbContextFactory enters the chat, and what it actually fixes.",1
C# dynamic is a trap door: stop the leaks before they spread (Must read for Dapper users),1
"Hello Betfair: The Same Strategy in F#, C#, VB.NET, and an AI Prompt (bfexplorer)",1
Exploring the New Features of C# 12: A Detailed Guide with Examples,1
"FirstOrDefault vs SingleOrDefault in C# — The Complete, Practical Guide",1
Your LINQ Filters Are Scattered Everywhere — Here's How to Fix It,0
Why Your C# AI Agents Will Fail in Production (And How to Fix It),1
Building SEO Automation in .NET with SERankingSharp,0
GitHub Copilot in Visual Studio 2026 – Working Without Agent Skills,1
C# Kernels in the Browser: High-Performance GPU Computing with Blazor and WebGPU,0
Why Your AI Agent Will Fail Without Containerization (And How to Fix It),1
Can’t Install .NET 10 on Ubuntu via apt? Here’s a Workaround That Actually Works,1
Back to Basics: What Every C# Developer Should Know (But Often Forgets),1
"Scaling AI Agents: Mastering Elasticity, State, and Throughput with C#",1
"Rewriting My First NUnit API Tests: Cleaner, Faster, Better",1
Building Your First AI Agent in C# with Microsoft Agent Framework,1
Scaling AI Inference: Why Your Next .NET Microservice Needs Kubernetes and ONNX,1
"The Real Difference Between Add, TryAdd, and TryAddEnumerable in .NET",0
From Monolith to Micro-Brain: Architecting Scalable AI Inference in .NET,1
Stop Writing Unreadable Regex - Build Patterns the Fluent Way in C#,1
C# 14 - Null Conditional Assignment in .NET10,0
"Game Dev Digest — Issue #312 - New Year, New Ways, and more",1
.NET: Exceptions vs Result Pattern - Performance Benchmark,1
Why Your Next AI Agent Should Be a Microservice (And How to Build It with C# & Docker),1
Dependency Injection in ASP.NET Core Why it exists? and what problem it actually solves?,1
"Part 2 - Performance & Concurrency Essentials in C#: Memory, Async, and High-Performance Primitives",1
Stop Treating AI Agents Like Monoliths: A Guide to Cloud-Native Containerization with C#,1
Nexora Launcher — Prototype Release (WPF / .NET 8),0
Result Pattern vs Exception Flow in .NET,1
Extensible Visitor Pattern in C#,1
High-performance backend scripting for .NET,0
Clean Architecture in .NET 10: Why Your Code Turns Into Spaghetti (And How to Prevent It),1
Clean Architecture in .NET 10: The Domain Layer — Entities That Actually Have Behavior,1
Clean Architecture in .NET 10: The Domain Layer — Entities That Actually Have Behavior,1
Clean Architecture in .NET 10: Why Your Code Turns Into Spaghetti (And How to Prevent It),1
Clean Architecture in .NET 10: The Application Layer — CQRS Without the Ceremony,1
Clean Architecture in .NET 10: The Setup (And When It's Overkill),1
Atomic Transaction Patterns C#,1
Dapper Micro-ORM Explained,1
ASP .NET Core IDisplayMetadataProvider,0
How to implement the Observer Pattern in Unity (and why UnityEvents limit you),1
Built an MCP server for .NET developers working with AI,1
What's new in PVS-Studio in 2025?,1
Introduction to Microsoft Agent Framework (Part 2 - Exposing Agents),1
The New Field Keyword Improves Properties in C# 14,1
How I Built My First .NET Package (and Got 500+ Downloads),1
The $0 Localization Stack for Solo .NET Developers,0
Using GitHub Models with the Microsoft Agent Framework,1
Result Pattern in C#,1
Memory-Safe Secrets in .NET Configuration,0
Chain of Responsibility pattern,1
License Protection vs. Code Obfuscation: What .NET Developers Actually Need,1
Porting Mistreevous to C#: A High-Performance Behavior Tree Library for Modern .NET,1
Stop Mixing Up Your RDP Sessions: Auto-Label Remote Desktop Windows,1
The Blazor Closure Bug That Made All My Time Slots 24:00 🕛 🕛,0
System.CommandLine with Dependency Injection: A Complete Solution,1
Designed a Complete Hiring Platform But Can't Code - Help Me Build it open source.,1
Meet Microsoft Agent Framework — Your .NET Agent Toolkit,1
LINQ Performance Optimization: 5 Patterns Every C# Developer Should Know,1
Minimal API Validation in .NET 10,0
Handling PayPal API Authentication the .NET Way,0
Inside the .NET Engine,0
Adapter Pattern Explained with Real Examples,1
"Dockerizing Your Web API with SQL Server, Dapper, and FluentMigrator",0
Perpetual vs Subscription Licenses: Which Business Model Wins in 2026?,1
Catching .NET Vulnerabilities Early: A Hands-On Guide with Puma Scan,0
"I got tired of setting up the same .NET architecture every project for 31 times, so I built a clean starter template kit",1
Stop Scattering Your Business Logic: Meet Masterly.BusinessRules for .NET,1
"Server-Sent Events in .NET 10: Finally, a Native Solution",0
Trial License Implementation Patterns in C#: A Technical Deep Dive,1
"Part 1 - Core Foundations for Enterprise C#: OOP & SOLID, Clean Architecture, and Type Semantics",1
Decompiling the New C# 14 field Keyword,1
From 3+ Days to 3.8 Hours: Scaling a .NET CSV Importer for SQL Server,0
How to Prevent Software Piracy in C# Desktop Apps: A Complete Guide,1
Building AI-Ready Applications with Model Context Protocol in C#,1
🚀 Boost Your EF Core Performance with AsNoTracking(),1
Starting My Journey into C# .NET,0
Build AI Agents with Microsoft Agent Framework in C#,1
Clean Up Your C# Loops: Flattening Nested Collections with LINQ SelectMany,1
What’s New in .NET 10 (LTS) — Why It Matters for Developers & Businesses,1
Building Self-Referential Agents with .NET 10 & Aspire (Part 1),0
Complete Guide to PDF Generation in C#,1
From Client Request to 24 .NET Microservices: My Solo Migration Journey,0
"Optimizing .NET 8 API Consumption at Scale: A Technical Deep Dive into Concurrency, Batching, and Resilient Retry Mechanisms",0
🚀 Event-Driven Excellence: Integrating Kafka with Avro in a .NET Hosted Service,0
"How to Build a WinForms Document Scanner in .NET: TWAIN, Webcam & PDF Export",0
Stop Using IOptions Wrong in .NET!,1
How I Create PDF Reports from SQL Server in C# Using IronPDF (Beginner Guide),0
I Just Published My New Book: Blazor 10 Coding Standards & Best Practices,1
C# Minimal API: A Practical Way to Keep Endpoints Clean,1
Pattern Matching in C#: The Starters Guide,1
Modern C# Development: Custom Exceptions Made Simple,1
CurlDotNet: Bringing curl's Power to .NET,0
Blazor AutoComplete That Actually Scales: From 10 Items to 100K (with AI Superpowers),1
Preparing for the IETF RateLimit Header Standard in .NET,0
"RoomSharp v0.4.3: Production-grade migrations, safe-by-default concurrency, and new companion packages",1
"PVS-Studio 7.40: support for Visual Studio 2026, Qt Creator 18, .NET 10, updated C# diagnostic rules, and more",0
Stop Paying OpenAI: Free Local AI in .NET with Ollama,1
# CurlDotNet: Bringing curl's Power to .NET,0
.NET 10: The Performance Beast That's Redefining Modern Application Development,1
"Angular Signals, But Better Now for .NET",0
Domina el uso de paquetes NuGet en .NET,0
Using Mockaroo and Entity framework to Seed Sample Data for .NET Applications,0
"Porting Zod to C#: ZodSharp – A Zero-Allocation, High-Performance Schema Validation Library for .NET",0
Progressive Learning: AI Deployment Strategies from Basic to Advanced,1
.NET Performance Optimization: Fixing a 15-Second E-Commerce Page Load,1
ASP.NET Core - Fundamentals - Error Handling,0
ISO 4217 Currency Reference for .NET — Strongly Typed and Production-Ready,0
The AI Data Center Revolution: What It Means for C# Developers in Q4 2025,1
Stop Writing a Kafka Consumer for Every Topic – Make It Generic in .NET,1
Enhancing your .NET API with query language,0
🧠 Managed vs Unmanaged Code — Explained for Beginners,1
🧱 Lesson 6  - Redis Caching for Performance Optimization,1
Aspire: The Cloud-Native Framework That Finally Makes Distributed .NET Development Easy,0
Understanding Federated Learning: Best Practices for Implementing Privacy-Preserving AI in C# Projects,1
Migration from .NET 4.7 to .NET 10,0
"SafeMapX — A New Universal Pattern to Eliminate Null Checks, Ternaries & String Plumbing in C#",1
Blazor vs React: A .NET Developer's Honest Comparison,0
Legal Research is Changing: How AI Makes Your C# Applications Smarter,1
Learning .NET from Beginner to Advanced Level's,0
dotnet run in .NET 10: Single-File C# Is Finally Here,0
How to Structure a .NET Solution That Actually Scales: Clean Architecture Guide,1
Why I Bet My Engineering Career on .NET 9 (And Left Legacy PHP Behind),0
C# Performance Optimization: Using Span<T> and stackalloc to Eliminate Allocations,1
Blazor in .NET 10: What's New and Why It Finally Feels Complete,1
"A Complete Introduction to C# — The Modern, Powerful, Multi-Paradigm Language for Developers",1
🚀 Entity Framework Core 10: The JSON & Complex Types Revolution Is Here!,0
How to Tune Your C# AI Model for Maximum Efficiency: A Step-by-Step Guide,1
HierarchyId in SQL Server and EF Core 8 - Modeling Hierarchical Data,0
Repository Pattern vs Direct EF Core: The Great Debate,1
ASP .NET Core model as json,1
Named Configuration Binding in .NET Using the Modern Options Pattern,1
Building a Simple Cron Scheduler in .NET with Cronos,0
Testing HttpClient in .NET without Moq or NSubstitute,0
10 Common .NET Logging Mistakes and How to Avoid Them for Maintainable Apps,0
nderstanding Reverse Proxy with .NET & SignalR (With Source Code + ZIP),0
ASP.NET Core Dependency Injection From Scopes & Lifetimes to .NET 9 Source Generators,0
TypedSql: Turning the C# Type System into a High-Performance SQL Query Engine,0
Common LINQ Methods with Examples in .NET Core,0
Introducing EasyMessages: Stop Wasting Time on Message Wording in .NET (Alpha Release),1
"🏛️ Uniface Forms Explained for C# Developers: The Original ""WinForms""",1
ASP .NET Core modals,0
Modern C# Development: User Defined Increment and decrement,1
I'm building an open-source AI ATC for flight sims (and looking for like-minded devs),1
The Essential Interfaces Every C# Developer Should Know,1
Build Your Local AI with C# and .NET,1
Applying Object Relational Mapping (ORM) on a C# .NET application,0
The Two Halves of Program.cs in .NET,0
Config-Aware Rules in .NET — The Power Feature of Cocoar.Configuration (Part 2),0
What's New in .NET 10 and C# 14,1
C# Async/Await in .NET 10: The Complete Technical Guide for 2025,1
CancellationToken: The Complete Technical Guide for .NET Developers,1
Tutorial: Building a .NET 9 Console App with Hangfire and Channels,0
C# for the Web: How Microsoft is Reshaping Modern Web Development,1
Exploring the new .slnx Visual Studio Solutions Format,1
Exploring Extension Blocks in .NET 10,0
New File-Based Apps in .NET 10: You Can Now Run C# in Just 1 File!,1
CurlDotNet: Bringing curl Superpowers to Every Corner of the .NET 10 / C# Stack,1
RoomSharp: Source-Generated Data Layer for Modern .NET,1
Curl in .Net 10 and C#,0
"How to Package .NET Software: Choosing Between DLLs, SDKs, and NuGet Packages",0
Python Inside .NET,0
Jordium.Snowflake.NET — A Fast and Lightweight Distributed ID Generator for .NET,0
Implementing the Inbox Pattern with Brighter V10 using Kafka and PostgreSQL,1
How to Use curl in .NET 10 (C#),0
Demystifying Excel Page Counts in C#: A Practical Guide,1
Real-Time Streaming in .NET SignalR — Live Data Like Trading Apps,0
My first Windows App,1
The .NET News daily newsletter for C# developers,0
BotticelliBundle: Simplified Deployment of Chatbots using Docker,0
Beginner’s Guide to .NET Development,0
